dl_los,dl_del_ms,ul_rat_kb,ul_jit_ms,ul_del_ms,dl_rat_kb,dl_jit_ms,ul_los,QoE,availableQualityLevels,bufferSizeWhenStart,clen_audio,clen_video,dur,getVideoLoadedFraction,httpInfo,join_time,player_load_time,resolution,stallingNumber,timeout,totalStallDuration,ts_firstBuffering,ts_onPlayerReadyEvent,ts_onYTIframeAPIReady,ts_startPlaying,ts_start_js,bitrate_switches
3.0,1397.0,1600.0,120.0,593.0,3200.0,120.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,11287.0,hd1080,0.0,no,0.0,1518188594538.0,1518188594469.0,1518188587488.0,0.0,1518188583182.0,1.0
18.0,1397.0,5600.0,210.0,1.0,2400.0,90.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,18000.0,hd1080,0.0,no,0.0,1518188628385.0,1518188628325.0,1518188623362.0,0.0,1518188610325.0,1.0
,699.0,1600.0,150.0,75.0,800.0,120.0,15.0,0.0,,0.08805972630983855,476991.0,839533.0,60.101,0.25707919721986666,,8709.0,3839.0,tiny,1.0,no,0.0,1518188698940.0,1518188698841.0,1518188696024.0,1518188707649.0,1518188695002.0,1.0
9.0,2444.0,800.0,150.0,445.0,7200.0,90.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,10817.0,hd1080,0.0,no,0.0,1518188739012.0,1518188738972.0,1518188731200.0,0.0,1518188728155.0,1.0
3.0,3142.0,800.0,120.0,593.0,7200.0,90.0,24.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,15972.0,hd1080,0.0,no,0.0,1518188770354.0,1518188770274.0,1518188761970.0,0.0,1518188754302.0,1.0
6.0,1746.0,1600.0,90.0,593.0,800.0,270.0,15.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,22762.0,hd1080,0.0,no,0.0,1518188809337.0,1518188809227.0,1518188803874.0,0.0,1518188786465.0,1.0
18.0,3491.0,6400.0,150.0,149.0,2400.0,210.0,18.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,16896.0,hd1080,0.0,no,0.0,1518188841569.0,1518188841497.0,1518188828305.0,0.0,1518188824601.0,1.0
12.0,350.0,,180.0,519.0,7200.0,120.0,21.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,25150.0,hd1080,0.0,no,0.0,1518188881934.0,1518188881881.0,1518188872285.0,0.0,1518188856731.0,1.0
,3491.0,2400.0,120.0,445.0,3200.0,270.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,16208.0,hd1080,0.0,no,0.0,1518188914117.0,1518188914067.0,1518188901243.0,0.0,1518188897859.0,1.0
6.0,3491.0,7200.0,120.0,75.0,4800.0,270.0,12.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,15488.0,hd1080,0.0,no,0.0,1518188945475.0,1518188945432.0,1518188934101.0,0.0,1518188929944.0,1.0
12.0,1048.0,2400.0,240.0,445.0,800.0,120.0,12.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,15372.0,hd1080,0.0,no,0.0,1518188976557.0,1518188976474.0,1518188971626.0,0.0,1518188961102.0,1.0
,2444.0,6400.0,120.0,223.0,6400.0,,12.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,6895.0,hd1080,0.0,no,0.0,1518188999228.0,1518188999187.0,1518188995147.0,0.0,1518188992292.0,1.0
24.0,3491.0,1600.0,,445.0,3200.0,150.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,310000.0,hd1080,0.0,no,0.0,0.0,0.0,1518189026688.0,0.0,1518189014452.0,0.0
12.0,699.0,1600.0,240.0,667.0,4800.0,210.0,18.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,15186.0,hd1080,0.0,no,0.0,1518189059771.0,1518189059725.0,1518189045695.0,0.0,1518189044539.0,1.0
3.0,1048.0,5600.0,120.0,297.0,3200.0,30.0,21.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,11537.0,hd1080,0.0,no,0.0,1518189087244.0,1518189087190.0,1518189078117.0,0.0,1518189075653.0,1.0
15.0,2095.0,7200.0,,1.0,4800.0,120.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,13378.0,hd1080,0.0,no,0.0,1518189116181.0,1518189116164.0,1518189109638.0,0.0,1518189102786.0,1.0
3.0,1746.0,,270.0,75.0,3200.0,180.0,3.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,10116.0,hd1080,0.0,no,0.0,1518189142112.0,1518189142065.0,1518189135753.0,0.0,1518189131949.0,1.0
21.0,1746.0,800.0,90.0,741.0,3200.0,210.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,16865.0,hd1080,0.0,no,0.0,1518189175000.0,1518189174957.0,1518189164586.0,0.0,1518189158092.0,1.0
18.0,699.0,4800.0,210.0,297.0,5600.0,270.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,8901.0,hd1080,0.0,no,0.0,1518189199188.0,1518189199120.0,1518189190841.0,0.0,1518189190219.0,1.0
